Country,Total_Cases,New_Cases,Total_Death,New_Deaths,Total_Recov,Active_Cases,Serious,Tot_Cases_1M,Tot_Deaths_1M
Bosnia and Herzegovina,191,,3,,2,186,1,58,1
Moldova,177,,1,,2,174,28,44,0
Albania,174,,6,,17,151,3,60,2
Vietnam,153,,,,20,133,3,2,
Burkina Faso,152,,7,,10,135,,7,0
Cyprus,146,,3,,4,139,3,121,2
Faeroe Islands,140,,,,47,93,,2865,
R�union,135,,,,1,134,,151,
Malta,134,,,,2,132,1,303,
Ghana,132,,4,,1,127,,4,0
Azerbaijan,122,,3,,15,104,6,12,0
Brunei,114,,,,5,109,1,261,
Kazakhstan,113,,1,,2,110,,6,0
Oman,109,,,,23,86,,21,
Venezuela,107,,1,,15,91,2,4,0
Sri Lanka,106,,,,7,99,3,5,
Senegal,105,,,,9,96,,6,
Cambodia,98,,,,10,88,1,6,
Ivory Coast,96,,,,3,93,,4,
Afghanistan,94,,4,,2,88,,2,0
Palestine,86,,1,,17,68,,17,0
Belarus,86,,,,29,57,2,9,
Mauritius,81,,2,,,79,1,64,2
Martinique,81,,1,,,80,12,216,3
Georgia,79,,,,11,68,1,20,
Cameroon,75,,1,,2,72,,3,0
Uzbekistan,75,,,,,75,4,2,
Guadeloupe,73,,1,,,72,4,182,2
Montenegro,69,,1,,,68,1,110,2
Cuba,67,,2,,1,64,2,6,0
Honduras,67,,1,,,66,,7,0
Channel Islands,66,,1,,,65,,380,6
Nigeria,65,,1,,3,61,,0,0
Trinidad and Tobago,65,,1,,,64,,46,1
Bolivia,61,,,,,61,,5,
Liechtenstein,56,,,,,56,,1469,
DRC,51,,3,,,48,,1,0
Rwanda,50,,,,,50,,4,
Bangladesh,44,,5,,11,28,1,0,0
Kyrgyzstan,44,,,,,44,,7,
Paraguay,41,,3,,,38,1,6,0
Mayotte,36,,,,,36,,132,
Gibraltar,35,,,,13,22,,1039,
Macao,33,,,,10,23,,51,
Monaco,33,,,,1,32,,841,
Kenya,31,,1,,1,29,,1,0
French Polynesia,30,,,,,30,,107,
Aruba,28,,,,1,27,,262,
French Guiana,28,,,,6,22,,94,
Jamaica,26,,1,,2,23,,9,0
Guatemala,25,,1,,4,20,,1,0
Isle of Man,25,,,,,25,,294,
Barbados,24,,,,,24,,84,
Togo,24,,,,1,23,,3,
Madagascar,23,,,,,23,,1,
Zambia,16,,,,,16,,1,
Bermuda,15,,,,2,13,,241,
New Caledonia,14,,,,,14,,49,
Uganda,14,,,,,14,,0,
El Salvador,13,,,,,13,,2,
Maldives,13,,,,8,5,,24,
Tanzania,13,,,,,13,,0,
Equatorial Guinea,12,,,,,12,,9,
Ethiopia,12,,,,,12,,0,
Djibouti,11,,,,,11,,11,
Dominica,11,,,,,11,,153,
Mongolia,11,,,,,11,,3,
Saint Martin,11,,,,,11,,284,
Niger,10,,1,,,9,,0,0
Bahamas,9,,,,1,8,,23,
Cayman Islands,8,,1,,,7,,122,15
Haiti,8,,,,,8,,1,
Namibia,8,,,,2,6,,3,
Suriname,8,,,,,8,,14,
Cura�ao,7,,1,,2,4,,43,6
Gabon,7,,1,,,6,,3,0
Antigua and Barbuda,7,,,,,7,,71,
Grenada,7,,,,,7,,62,
Mozambique,7,,,,,7,,0,
Seychelles,7,,,,,7,,71,
Benin,6,,,,,6,,1,
Eritrea,6,,,,,6,,2,
Greenland,6,,,,2,4,,106,
Laos,6,,,,,6,,1,
Eswatini,6,,,,,6,,5,
Cabo Verde,5,,1,,,4,,9,2
Guyana,5,,1,,,4,,6,1
Fiji,5,,,,,5,,6,
Montserrat,5,,,,,5,,1002,
Myanmar,5,,,,,5,,0,
Syria,5,,,,,5,,0,
Angola,4,,,,,4,,0,
Congo,4,,,,,4,,1,
Guinea,4,,,,,4,,0,
Vatican City,4,,,,,4,,4994,
Mali,4,,,,,4,,0,
Gambia,3,,1,,,2,,1,0
Sudan,3,,1,,,2,,0,0
Zimbabwe,3,,1,,,2,,0,0
Nepal,3,,,,1,2,,0,
CAR,3,,,,,3,,1,
Chad,3,,,,,3,,0,
Liberia,3,,,,,3,,1,
Mauritania,3,,,,,3,,1,
St. Barth,3,,,,,3,,304,
Saint Lucia,3,,,,1,2,,16,
Sint Maarten,3,,,,,3,,70,
Nicaragua,2,,1,1,,1,,0,0
Anguilla,2,,,,,2,,133,
Belize,2,,,,,2,,5,
Bhutan,2,,,,,2,,3,
British Virgin Islands,2,,,,,2,,66,
Guinea-Bissau,2,,,,,2,,1,
Saint Kitts and Nevis,2,,,,,2,,38,
Somalia,2,,,,,2,,0,
Turks and Caicos,2,,,,,2,,52,
Libya,1,,,,,1,,0,
Papua New Guinea,1,,,,,1,,0,
St. Vincent Grenadines,1,,,,,1,,9,
Timor-Leste,1,,,,,1,,1,
